WRITER LOG: 17:30:17, 02 NOV 2017

[SET CONNECTION] TRY: 1
[SET CONNECTION] Successful
[BEGIN FILE]
[PACKAGE 1] RR0
[PACKAGE 2] RR1
[PACKAGE 3] RR0
[PACKAGE 4] RR1
[PACKAGE 5] RR0
[PACKAGE 6] RR1
[PACKAGE 7] RR0
[PACKAGE 8] RR1
[PACKAGE 9] RR0
[PACKAGE 10] RR1
[PACKAGE 11] RR0
[PACKAGE 12] RR1
[PACKAGE 13] RR0
[PACKAGE 14] RR1
[PACKAGE 15] RR0
[PACKAGE 16] RR1
[PACKAGE 17] RR0
[PACKAGE 18] RR1
[PACKAGE 19] RR0
[PACKAGE 20] RR1
[PACKAGE 21] RR0
[PACKAGE 22] RR1
[PACKAGE 23] RR0
[PACKAGE 24] RR1
[PACKAGE 25] RR0
[PACKAGE 26] RR1
[PACKAGE 27] RR0
[PACKAGE 28] RR1
[PACKAGE 29] RR0
[PACKAGE 30] RR1
[PACKAGE 31] RR0
[PACKAGE 32] RR1
[PACKAGE 33] RR0
[PACKAGE 34] RR1
[PACKAGE 35] RR0
[PACKAGE 36] RR1
[PACKAGE 37] RR0
[PACKAGE 38] RR1
[PACKAGE 39] RR0
[PACKAGE 40] RR1
[PACKAGE 41] RR0
[PACKAGE 42] RR1
[PACKAGE 43] RR0
[PACKAGE 44] RR1
[PACKAGE 45] RR0
[PACKAGE 46] RR1
[PACKAGE 47] RR0
[PACKAGE 48] RR1
[PACKAGE 49] RR0
[PACKAGE 50] RR1
[PACKAGE 51] RR0
[PACKAGE 52] RR1
[PACKAGE 53] RR0
[PACKAGE 54] RR1
[PACKAGE 55] RR0
[PACKAGE 56] RR1
[PACKAGE 57] RR0
[PACKAGE 58] RR1
[PACKAGE 59] RR0
[PACKAGE 60] RR1
[PACKAGE 61] RR0
[PACKAGE 62] RR1
[PACKAGE 63] RR0
[PACKAGE 64] RR1
[PACKAGE 65] RR0
[PACKAGE 66] RR1
[PACKAGE 67] RR0
[PACKAGE 68] RR1
[PACKAGE 69] RR0
[PACKAGE 70] RR1
[PACKAGE 71] RR0
[PACKAGE 72] RR1
[PACKAGE 73] RR0
[PACKAGE 74] RR1
[PACKAGE 75] RR0
[PACKAGE 76] RR1
[PACKAGE 77] RR0
[PACKAGE 78] RR1
[PACKAGE 79] RR0
[PACKAGE 80] RR1
[PACKAGE 81] RR0
[PACKAGE 82] RR1
[PACKAGE 83] RR0
[PACKAGE 84] RR1
[PACKAGE 85] RR0
[PACKAGE 86] RR1
[END FILE]
[LLCLOSE] Send DISC: try 1 
[LLCLOSE] DISC sended with success 
[LLCLOSE] Final DISC received with success
[LLCLOSE] Final UA sended with success


READER LOG: 17:32:07, 02 NOV 2017

[BEGIN FILE]
[PACKAGE 1] RR1
[PACKAGE 2] RR0
[PACKAGE 3] RR1
[PACKAGE 4] RR0
[PACKAGE 5] RR1
[PACKAGE 6] RR0
[PACKAGE 7] RR1
[PACKAGE 8] RR0
[PACKAGE 9] RR1
[PACKAGE 10] RR0
[PACKAGE 11] RR1
[PACKAGE 12] RR0
[PACKAGE 13] RR1
[PACKAGE 14] RR0
[PACKAGE 15] RR1
[PACKAGE 16] RR0
[PACKAGE 17] RR1
[PACKAGE 18] RR0
[PACKAGE 19] RR1
[PACKAGE 20] RR0
[PACKAGE 21] RR1
[PACKAGE 22] RR0
[PACKAGE 23] RR1
[PACKAGE 24] RR0
[PACKAGE 25] RR1
[PACKAGE 26] RR0
[PACKAGE 27] RR1
[PACKAGE 28] RR0
[PACKAGE 29] RR1
[PACKAGE 30] RR0
[PACKAGE 31] RR1
[PACKAGE 32] RR0
[PACKAGE 33] RR1
[PACKAGE 34] RR0
[PACKAGE 35] RR1
[PACKAGE 36] RR0
[PACKAGE 37] RR1
[PACKAGE 38] RR0
[PACKAGE 39] RR1
[PACKAGE 40] RR0
[PACKAGE 41] RR1
[PACKAGE 42] RR0
[PACKAGE 43] RR1
[PACKAGE 44] RR0
[PACKAGE 45] RR1
[PACKAGE 46] RR0
[PACKAGE 47] RR1
[PACKAGE 48] RR0
[PACKAGE 49] RR1
[PACKAGE 50] RR0
[PACKAGE 51] RR1
[PACKAGE 52] RR0
[PACKAGE 53] RR1
[PACKAGE 54] RR0
[PACKAGE 55] RR1
[PACKAGE 56] RR0
[PACKAGE 57] RR1
[PACKAGE 58] RR0
[PACKAGE 59] RR1
[PACKAGE 60] RR0
[PACKAGE 61] RR1
[PACKAGE 62] RR0
[PACKAGE 63] RR1
[PACKAGE 64] RR0
[PACKAGE 65] RR1
[PACKAGE 66] RR0
[PACKAGE 67] RR1
[PACKAGE 68] RR0
[PACKAGE 69] RR1
[PACKAGE 70] RR0
[PACKAGE 71] RR1
[PACKAGE 72] RR0
[PACKAGE 73] RR1
[PACKAGE 74] RR0
[PACKAGE 75] RR1
[PACKAGE 76] RR0
[PACKAGE 77] RR1
[PACKAGE 78] RR0
[PACKAGE 79] RR1
[PACKAGE 80] RR0
[PACKAGE 81] RR1
[PACKAGE 82] RR0
[PACKAGE 83] RR1
[PACKAGE 84] RR0
[PACKAGE 85] RR1
[PACKAGE 86] RR0
[END FILE]
[END FILE] Received file size is correct
[LLREAD] DISC received
[LLCLOSE] Send DISC: try 1 
[LLCLOSE] DISC sended with success 
[LLCLOSE] Final UA received with success


